march , warn
lose , rise
lose , unite
country , lose
country , march
country , today
country , governor
country , rise
country , unite
coal , country
coal , lose
coal , march
march , rise
march , unite
community , today
community , justice
color , march
justice , today
governor , rise
governor , unite
governor , level
accelerate , rise
accelerate , unite
accelerate , level
accelerate , community
accelerate , sea
accelerate , projection
accelerate , scientific
accelerate , denial
commit , rise
commit , unite
commit , trump
climate , trump
action , day
action , trump
action , earth
change , rise
change , unite
change , level
climate , rise
climate , unite
level , rise
level , unite
level , projection
rise , unite
prior , projection
community , unite
community , denial
scientific , unite
denial , wait
activist , wait
activist , washington
wait , washington
act , divesting
act , mainstream
act , require
act , crisis
act , mobilization
act , feel
divesting , mainstream
divesting , require
divesting , fuel
divesting , mobilization
divesting , feel
divesting , fossil
mainstream , require
mainstream , mobilization
require , world
require , scale
require , scientist
require , urgent
require , worsen
crisis , require
crisis , mobilization
crisis , feel
crisis , world
crisis , scale
crisis , day
crisis , urgent
crisis , worsen
climate , mobilization
climate , feel
mobilization , scientist
mobilization , urgent
mobilization , worsen
mobilization , overseas
scale , scientist
american , scientist
american , flee
american , overseas
american , continue
flee , overseas
flee , research
flee , reshape
flee , land
overseas , research
overseas , reshape
continue , research
continue , reshape
continue , land
continue , public
research , reshape
climate , reshape
change , reshape
change , land
change , public
climate , land
america , land
america , public
feel , urgent
feel , worsen
feel , washington
day , feel
day , urgent
day , worsen
day , debate
earth , feel
earth , urgent
earth , worsen
urgent , worsen
emergency , worsen
emergency , washington
emergency , existence
climate , worsen
climate , debate
debate , existence
americans , climate
americans , stop
advocate , stop
advocate , era
advocate , economy
advocate , trump
advocate , energy
advocate , scientist
advocate , disappear
climate , stop
climate , economy
era , stop
stop , trump
economy , stop
economy , trump
economy , scientist
energy , stop
energy , trump
clean , energy
clean , economy
clean , stop
archiving , datum
archiving , climate
disappear , issue
affect , issue
affect , care
affect , democrat
issue , lead
care , lead
care , europe
care , world
care , case
care , create
democrat , lead
lead , world
lead , wave
lead , leadership
lead , new
lead , rock
lead , story
lead , miss
europe , lead
europe , world
europe , wave
case , create
case , leadership
case , change
case , wave
case , pruitt
case , epa
epa , leadership
create , wave
create , new
create , rock
create , story
create , miss
create , refugee
create , stand
create , medium
create , it
create , end
change , create
change , wave
change , new
change , rock
change , story
change , miss
climate , wave
new , wave
new , refugee
american , refugee
rock , story
stand , story
climate , story
climate , miss
medium , miss
medium , send
miss , send
miss , tornado
miss , town
it , send
march , send
march , message
send , tornado
send , town
science , send
end , intensify
end , tornado
end , town
end , liability
end , fuel
end , leadership
end , important
end , season
end , researcher
end , gutte
end , moment
end , party
end , great
end , legacy
end , today
clear , message
clear , end
denial , end
denial , intensify
denial , tornado
denial , town
denial , liability
denial , leadership
denial , important
climate , end
climate , intensify
intensify , tornado
intensify , season
intensify , researcher
intensify , town
intensify , liability
intensify , leadership
intensify , justice
intensify , speak
intensify , movement
change , intensify
change , tornado
change , season
change , researcher
climate , tornado
hurricane , season
fight , researcher
fight , justice
fight , speak
fight , movement
fight , force
fight , political
justice , researcher
economic , justice
researcher , speak
climate , researcher
climate , speak
political , pressure
movement , political
force , treaty
force , paris
force , important
force , international
political , treaty
agreement , treaty
agreement , important
agreement , international
paris , treaty
important , treaty
important , international
international , treaty
change , gutte
change , moment
change , liability
change , fuel
change , leadership
change , important
change , define
change , set
change , movement
climate , gutte
climate , moment
gutte , set
gutte , moment
gutte , progress
gutte , movement
epa , set
epa , progress
climate , progress
decade , warming
decade , global
decade , hoax
decade , scientist
decade , furious
scientist , solution
furious , hide
furious , solution
cost , retreat
cost , length
cost , solution
cost , danger
hide , retreat
hide , length
alter , length
alter , danger
alter , season
change , length
change , danger
climate , length
length , season
danger , season
fire , season
crisis , solution
crisis , partisan
crisis , severe
crisis , need
climate , solution
partisan , solution
scientist , severe
change , severe
change , need
change , drought
change , common
change , plan
climate , severe
climate , need
drought , severe
drought , need
common , need
need , plan
need , science
america , need
america , plan
action , plan
action , march
big , moment
denial , party
denial , great
climate , liability
party , world
party , scientist
liability , world
liability , scientist
liability , moment
great , liability
great , world
great , inaction
great , scientist
great , hope
afford , inaction
afford , american
afford , change
afford , fuel
afford , scientist
afford , hope
afford , alive
afford , climate
american , inaction
climate , hope
hope , moment
alive , moment
dark , moment
dark , political
fuel , humanitarian
change , humanitarian
leadership , legacy
leadership , today
america , leadership
america , important
america , define
climate , important
climate , define
important , legacy
important , today
important , term
abandon , cost
abandon , term
abandon , define
abandon , long
abandon , dismantle
cost , dismantle
cost , policy
long , term
dismantle , policy
define , legacy
define , today
define , march
define , leader
change , legacy
change , today
climate , legacy
climate , today
legacy , today
legacy , march
leader , power
march , planet
march , real
march , urgent
emergency , real
emergency , urgent
climate , real
real , urgent
real , worsen
scientist , struggle
polite , worse
change , worse
change , infrastructure
climate , worse
crisis , worse
crisis , issue
america , infrastructure
america , worse
infrastructure , worse
protect , wetland
powerful , strategy
climate , strategy
climate , collapse
climate , permanent
advocate , bring
advocate , kid
advocate , collapse
advocate , permanent
advocate , march
advocate , science
climate , kid
bring , kid
bring , march
bring , science
kid , march
kid , science
collapse , permanent
collapse , policy
collapse , trump
action , issue
action , single
action , important
action , scientist
action , stop
issue , scientist
issue , stop
issue , time
issue , teacher
issue , revolution
issue , turn
issue , nurse
single , stop
single , time
single , teacher
single , turn
important , issue
important , scientist
important , stop
important , time
important , teacher
important , revolution
important , turn
scientist , teacher
scientist , stop
scientist , turn
teacher , today
nurse , today
drain , government
drain , stop
drain , state
change , drain
change , government
climate , drain
stop , turn
cut , stop
cut , revolution
cut , turn
cut , energy
cut , grief
cut , day
budget , stop
budget , revolution
budget , turn
revolution , turn
clean , revolution
clean , turn
energy , revolution
energy , turn
climate , grief
advocate , grief
day , thousand
overnight , struggle
fight , struggle
defining , struggle
defining , generation
community , frontline
change , reclaim
climate , reclaim
march , reclaim
reclaim , washington
america , reclaim
america , failure
failure , mark
failure , reshape
failure , warming
failure , life
mark , reshape
mark , warming
mark , resistance
mark , way
day , mark
day , reshape
day , warming
day , life
earth , mark
earth , reshape
beginning , reshape
beginning , warming
beginning , life
beginning , climate
beginning , scientist
resistance , scientist
climate , find
find , hope
find , march
find , today
hope , march
reshape , way
warming , way
global , reshape
global , life
life , way
way , we
notice , voter
barely , notice
barely , voter
barely , force
change , voter
climate , voter
force , march
decisive , force
decisive , march
spread , we
disinformation , spread
disinformation , we
disinformation , vote
change , spread
it , we
it , spread
demand , spread
demand , vote
demand , disinformation
demand , we
demand , organize
demand , earth
emergency , spread
emergency , vote
emergency , we
emergency , march
emergency , organize
climate , spread
climate , vote
march , organize
march , spread
organize , spread
action , spread
act , spread
pull , push
harm , hurt
bring , work
quit , stay
leave , wind
protection , security
form , progress
clean , clear
draw , job
power , push
draw , quarter
define , mark
commit , pull
hidden , hide
draw , force
alive , hot
danger , risk
cut , issue
build , work
draw , run
new , young
advocate , urge
battle , oppose
draw , drive
cut , matter
funding , stand
run , work
deal , mass
leave , run
bring , land
line , pull
grow , work
dismantle , level
lose , miss
draw , work
battle , push
hard , strong
draw , push
energy , force
issue , supply
turn , work
billion , million
force , line
continue , rest
administration , government
clean , white
force , quarter
big , worse
care , hand
define , set
force , run
grow , turn
draw , pull
pull , quarter
insurance , policy
center , mall
draw , pressure
organize , work
form , work
fire , fuel
energy , push
pull , run
dangerous , severe
happen , notice
continue , stop
big , great
end , stop
line , run
grow , rise
earth , public
earth , state
force , movement
issue , matter
find , notice
earth , land
earth , existence
force , push
matter , supply
quit , stop
act , work
mark , set
new , youth
alter , change
draw , lead
live , survive
notice , set
demand , need
fight , push
grow , prove
country , state
care , mass
country , land
cost , toll
lead , work
drive , movement
hard , severe
movement , push
line , quarter
blue , dark
energy , fight
cut , supply
force , pull
deal , hand
force , pressure
fight , oppose
child , kid
business , line
find , happen
continue , stay
position , set
defining , set
draw , power
powerful , right
end , stay
business , job
form , organize
stay , stop
power , pull
existence , global
earth , global
draw , line
find , mark
power , pressure
epa , march
americans , march
dangerous , march
draw , scientist
explain , scientist
reckless , scientist
climate , dismantle
americans , dismantle
demand , washington
truth , washington
change , truth
dismantle , draw
march , thousand
dismantle , thousand
march , u.s
day , earth
reckless , trump
reckless , rollback
dismantle , rollback
dangerous , rollback
dangerous , reckless
dismantle , reckless
dismantle , warn
epa , warn
protection , warn
explain , warn
pruitt , warn
climate , warn
war , warn
americans , warn
scott , warn
pruitt , scientist
dismantle , epa
dismantle , pruitt
pruitt , scott
explain , protection
americans , protection
americans , war
science , war
explain , war
climate , war
americans , trump
science , trump
climate , risk
explain , risk
hit , state
change , state
house , state
state , survival
step , survival
hit , survival
hit , step
climate , step
denial , step
global , step
hit , house
house , white
hit , warming
hit , record
denial , record
global , record
explain , quarter
hot , quarter
grow , quarter
dismantle , quarter
pariah , quarter
explain , hot
grow , hot
dismantle , hot
pariah , pull
explain , pull
grow , pull
america , pull
global , pull
agreement , pull
explain , pariah
grow , pariah
epa , pariah
happen , terrified
climate , terrified
climate , happen
earth , happen
day , happen
earth , policy
day , policy
explain , grow
crisis , grow
dismantle , grow
climate , grow
grow , resistance
denial , resistance
explain , resistance
crisis , resistance
explain , strong
silence , strong
crisis , strong
scientist , silence
explain , silence
climate , silence
dismantle , silence
erase , march
datum , march
important , march
climate , generation
march , support
protest , support
epa , support
epa , today
pruitt , science
epa , science
epa , scott
change , erase
denier , erase
datum , erase
america , erase
environmental , erase
coalition , erase
america , denier
datum , denier
coalition , denier
form , policy
datum , policy
coalition , policy
coalition , datum
administration , datum
bury , datum
datum , global
form , global
coalition , global
administration , global
bury , global
datum , warming
form , warming
want , warming
coalition , warming
underground , warming
administration , warming
bury , warming
coalition , form
climate , form
blue , bury
administration , trump
bury , trump
bury , want
form , want
state , want
coalition , want
underground , want
blue , want
underground , washington
datum , scientist
protest , scientist
federal , scientist
cut , scientist
research , scientist
datum , secretly
protest , secretly
federal , secretly
cut , secretly
research , secretly
cut , datum
datum , federal
climate , cut
cut , trump
budget , trump
research , trump
agreement , research
paris , research
climate , devastating
agreement , devastating
agreement , climate
fight , worth
refuse , trump
it , refuse
oppose , push
climate , push
poll , push
agenda , push
climate , corporation
push , quietly
oppose , quietly
climate , quietly
push , rollback
oppose , rollback
corporation , rollback
quietly , rollback
poll , rollback
lead , rollback
city , rollback
line , rollback
agenda , rollback
new , rollback
mistake , rollback
movement , rollback
cost , rollback
majority , rollback
lead , woman
push , woman
oppose , woman
movement , woman
corporation , woman
quietly , woman
poll , woman
city , woman
line , woman
threat , woman
agenda , woman
climate , woman
resistance , woman
climate , lead
movement , resistance
fight , line
line , new
fight , new
cost , threat
security , threat
change , threat
billion , threat
scientist , threat
push , threat
oppose , threat
national , threat
climate , threat
taxpayer , threat
march , threat
cost , security
billion , cost
billion , change
billion , climate
billion , taxpayer
scientist , taxpayer
scientist , year
march , year
rest , scientist
scientist , young
march , young
today , young
rest , young
action , climate
change , rest
agenda , trump
oppose , trump
trump , u.s
agenda , u.s
climate , u.s
oppose , u.s
agenda , climate
majority , oppose
americans , majority
refuse , scientist
refuse , silence
change , silence
epa , silence
epa , mistake
denial , mistake
march , mistake
march , policy
march , official
policy , u.s
bad , crisis
bad , climate
look , march
bad , march
afraid , march
look , washington
bad , scientist
afraid , scientist
look , today
crisis , today
bad , today
they , today
afraid , today
afraid , they
look , they
change , they
purchase , they
climate , come
administration , come
datum , save
administration , save
purchase , undeniable
complicit , republicans
purchase , republicans
quit , republicans
quit , scientist
complicit , scientist
epa , quit
complicit , quit
day , purchase
earth , purchase
policy , purchase
day , industry
earth , industry
day , fuel
day , hurt
demand , hurt
change , hurt
administration , hurt
frequent , hurt
emergency , hurt
climate , hurt
afraid , hurt
flood , hurt
resistance , science
demand , science
action , resistance
demand , emergency
plan , rollback
clean , rollback
power , rollback
plan , trump
plan , power
day , planet
demand , planet
change , planet
administration , planet
frequent , planet
day , state
rollback , state
administration , sue
day , sue
rollback , sue
demand , sue
change , sue
purchase , sue
frequent , sue
drive , sue
drive , rollback
fight , rollback
extreme , rollback
right , rollback
datum , drive
fight , weather
right , weather
scientist , weather
protect , weather
fight , right
protect , scientist
noaa , scientist
datum , fight
fight , noaa
datum , protect
interference , protect
important , protect
political , protect
carbon , protect
interference , political
important , tax
community , important
alive , important
alive , community
community , global
agreement , global
alive , global
alive , paris
change , u.s
frequent , u.s
day , frequent
paris , rally
rally , toll
community , toll
rollback , toll
america , toll
business , toll
emergency , toll
issue , toll
climate , toll
community , hidden
health , rollback
rally , rollback
public , rollback
health , trump
health , public
leader , world
climate , world
emergency , leader
issue , leader
default , leader
issue , partisan
human , it
grow , march
justice , march
energy , march
grow , justice
energy , renewable
grow , renewable
fight , grow
fight , war
action , war
democrats , war
protect , war
democrats , trump
protect , trump
congress , fight
congress , protect
congress , science
coastline , redrawe
redrawe , warming
coastline , warming
scientist , warming
coastline , global
community , harm
bring , harm
coastline , harm
emergency , harm
global , harm
california , harm
color , harm
erasing , harm
action , harm
case , harm
climate , coastline
run , scientist
run , we
run , time
action , business
scientist , weak
climate , weak
coastline , weak
america , isolate
harm , isolate
coastline , isolate
ally , isolate
fight , isolate
global , isolate
change , isolate
disproportionately , isolate
community , isolate
bring , isolate
america , denial
coastline , denial
ally , denial
denial , trump
isolate , trump
redrawe , trump
mayor , trump
ally , america
fight , mayor
change , mayor
harm , mayor
coastline , mayor
disproportionately , government
community , government
bring , government
community , disproportionately
bring , disproportionately
coastline , disproportionately
bring , community
color , community
coastline , community
climate , erasing
million , regulation
march , regulation
redrawe , regulation
bring , regulation
pull , regulation
march , million
life , million
bring , million
american , million
march , risk
redrawe , urgency
pull , urgency
mall , urgency
mall , national
trump , year
protect , pull
action , pull
case , pull
coastline , pull
emergency , pull
issue , pull
extinction , pull
citizen , pull
conservative , pull
action , change
require , specie
extinction , specie
redrawe , specie
protect , specie
action , specie
case , specie
mass , specie
extinction , mass
action , require
case , require
citizen , require
conservative , require
redrawe , require
agreement , protect
action , protect
case , protect
paris , protect
citizen , protect
conservative , protect
action , agreement
action , citizen
case , citizen
case , conservative
crisis , listen
emergency , listen
issue , listen
disrupt , listen
cost , listen
fuel , listen
lead , listen
denial , listen
climate , listen
listen , republicans
march , republicans
crisis , republicans
scientist , season
march , season
scientist , unbearable
march , unbearable
live , unbearable
live , scientist
live , march
change , live
climate , live
center , live
cost , denial
cost , science
live , science
center , change
activist , policy
imperative , policy
setback , trump
activist , setback
climate , setback
protect , setback
imperative , setback
america , setback
earth , setback
day , setback
change , setback
act , activist
earth , transform
day , transform
threaten , transform
act , transform
change , transform
supply , transform
act , earth
act , day
supply , threaten
america , threaten
freshwater , threaten
funding , protect
imperative , protect
bipartisan , protect
funding , research
issue , march
disrupt , march
agriculture , march
american , march
decision , march
activism , march
defunding , march
beginning , march
fuel , wake
denial , wake
emergency , wake
era , wake
change , wake
bad , wake
era , fuel
bad , fuel
activism , fuel
activism , era
environmental , era
era , new
activism , new
activism , environmental
bad , change
american , bad
bad , wildfire
west , wildfire
color , woman
rally , woman
emergency , woman
issue , woman
disrupt , woman
look , woman
cost , woman
denial , woman
position , woman
justice , woman
justice , lead
demand , denial
demand , position
government , position
crisis , position
immediate , position
demand , official
government , official
crisis , official
demand , government
government , u.s
aggressive , demand
march , response
aggressive , immediate
disrupt , truth
look , truth
cost , truth
agriculture , disrupt
datum , disrupt
cost , disrupt
american , disrupt
america , disrupt
dearly , disrupt
crisis , disrupt
battle , disrupt
agriculture , change
american , change
agriculture , american
battle , solar
battle , win
datum , win
fuel , win
