leader , sign
document , stop
new , plan
plan , stop
plan , regulation
obama , plan
obama , power
obama , stop
obama , regulation
clean , plan
clean , power
clean , stop
clean , regulation
clean , cool
power , stop
power , regulation
regulation , stop
regulation , vehicle
regulation , win
regulation , u.s
important , regulation
important , stop
important , vehicle
important , win
climate , regulation
climate , stop
climate , help
climate , cool
climate , history
climate , vehicle
climate , win
history , stop
help , win
help , stop
vehicle , win
electric , vehicle
electric , help
electric , win
change , paris
change , climate
climate , paris
confirm , scientist
confirm , pledge
confirm , issue
confirm , record
confirm , evidence
confirm , we
confirm , technology
confirm , governor
confirm , exceed
confirm , melt
need , study
need , weather
need , warming
event , warming
extreme , weather
bad , warming
change , pledge
change , governor
change , exceed
change , melt
climate , pledge
governor , pledge
governor , melt
governor , state
governor , sheet
issue , pledge
issue , melt
issue , state
feminist , issue
feminist , governor
feminist , pledge
pledge , sheet
pledge , rate
blue , state
exceed , melt
exceed , paris
exceed , sheet
exceed , movement
commitment , movement
commitment , melt
climate , commitment
climate , movement
greenland , sheet
greenland , ice
greenland , melt
american , greenland
american , politics
american , sheet
american , ice
american , melt
politics , sheet
ice , sheet
ice , melt
melt , rate
melt , unprecedented
scientist , we
scientist , technology
change , issue
change , record
change , defining
change , high
change , embrace
change , link
change , million
change , lead
change , shrink
climate , issue
climate , record
issue , record
issue , link
issue , million
issue , lead
issue , shrink
defining , issue
defining , record
defining , hit
election , investment
election , energy
election , hit
energy , investment
energy , hit
clean , energy
clean , investment
clean , hit
record , world
record , shrink
high , world
link , million
link , shrink
link , way
link , warming
link , park
link , member
change , member
change , crisis
change , congress
change , deny
change , syrian
change , refugee
climate , member
climate , congress
climate , deny
crisis , member
crisis , deny
congress , member
congress , deny
million , shrink
million , way
million , warming
million , park
fuel , industry
fuel , lead
fossil , industry
industry , lead
industry , way
city , lead
city , way
city , shrink
lead , way
lead , shrink
lead , warming
lead , park
global , shrink
global , park
national , park
leak , we
leak , technology
leak , think
crisis , think
crisis , we
climate , think
bad , think
bad , we
bad , technology
bad , change
bad , frequent
bad , dangerous
think , wildfire
change , frequent
change , dangerous
change , wildfire
climate , frequent
climate , dangerous
big , frequent
big , dangerous
lack , political
agreement , binding
agreement , legally
threaten , we
change , community
change , coastal
climate , community
link , threaten
link , right
link , opportunity
link , twin
link , we
link , paris
link , ocean
link , nye
link , new
america , coastal
coastal , community
scientist , twin
drought , threaten
drought , right
drought , opportunity
drought , twin
drought , we
drought , future
drought , issue
california , drought
california , threaten
california , climate
california , cost
climate , right
climate , opportunity
climate , twin
climate , we
climate , future
climate , study
change , study
change , landmark
landmark , study
deal , opportunity
deal , threaten
deal , economic
opportunity , threaten
economic , opportunity
acidification , twin
acidification , threaten
acidification , cost
acidification , evil
acidification , it
acidification , nye
ocean , twin
burden , ocean
evil , twin
it , nye
bill , nye
bad , bill
bad , nye
denial , we
denial , future
cost , we
cost , future
cost , right
cost , issue
cost , health
future , health
future , mental
future , real
affect , health
affect , cost
affect , mental
affect , america
affect , real
affect , fuel
change , health
change , mental
change , real
climate , health
health , real
america , cost
cost , fuel
cost , fossil
accounting , issue
accounting , change
accounting , right
accounting , damage
accounting , climate
climate , damage
civil , right
civil , issue
study , transform
new , study
new , save
new , reshape
new , prescribe
new , settle
dollar , save
dollar , spend
relief , save
relief , study
disaster , relief
disaster , save
city , study
city , literally
city , drive
city , prescribe
city , settle
city , save
city , underwater
city , transform
city , specie
city , matter
city , provide
city , science
american , city
american , study
american , literally
american , drive
american , reshape
american , prescribe
american , settle
literally , save
literally , transform
literally , specie
literally , matter
literally , provide
transform , vision
revolution , transform
revolution , specie
revolution , rural
energy , revolution
energy , transform
clean , revolution
clean , transform
drive , specie
drive , matter
drive , extinction
drive , rate
drive , it
drive , earth
drive , vision
drive , save
drive , provide
drive , war
drive , founder
drive , far
drive , we
drive , need
drive , warming
drive , refugee
change , drive
change , specie
change , matter
america , drive
climate , drive
specie , vision
extinction , matter
rate , war
alarming , rate
alarming , war
alarming , pentagon
alarming , quiet
pentagon , war
pentagon , quiet
quiet , war
matter , vision
matter , we
matter , need
matter , warming
matter , refugee
matter , ocean
matter , system
it , matter
it , vision
it , we
it , need
it , warming
it , refugee
earth , vision
earth , founder
earth , far
earth , we
earth , need
earth , warming
earth , refugee
founder , vision
day , founder
day , vision
vision , we
vision , warming
far , we
far , need
come , need
come , disrupt
come , far
come , we
come , warming
come , refugee
disrupt , refugee
disrupt , ocean
disrupt , system
global , refugee
ocean , refugee
ocean , system
circulation , system
circulation , refugee
circulation , climate
climate , refugee
face , provide
face , power
face , wind
human , provide
human , power
warming , wind
global , wind
energy , provide
million , power
million , oil
home , power
home , oil
home , provide
home , profit
american , home
american , company
american , power
american , oil
american , fight
company , fight
company , profit
company , power
oil , profit
fight , profit
action , profit
climate , profit
help , provide
help , lead
help , sue
help , power
help , kid
help , human
help , we
help , year
help , they
help , report
help , u.s
pricing , provide
pricing , sue
carbon , pricing
carbon , help
carbon , provide
carbon , lead
carbon , sue
lead , provide
lead , sue
lead , power
america , lead
america , provide
america , sue
kid , sue
kid , provide
kid , u.s
sue , u.s
government , provide
case , report
case , new
case , ipcc
case , provide
new , provide
ipcc , report
ipcc , provide
we , year
avoid , bad
avoid , provide
avoid , change
bad , climate
reshape , study
reshape , settle
reshape , unlock
reshape , save
reshape , underwater
reshape , transform
reshape , specie
reshape , science
reshape , trillion
live , unlock
live , trillion
live , study
live , prescribe
live , settle
live , paris
americans , live
americans , unlock
americans , trillion
agreement , unlock
agreement , trillion
paris , unlock
paris , trillion
green , investment
prescribe , study
prescribe , settle
prescribe , priority
prescribe , save
prescribe , underwater
prescribe , transform
prescribe , specie
prescribe , provide
prescribe , science
action , study
action , literally
action , drive
action , settle
action , priority
health , priority
science , settle
science , study
settle , study
settle , underwater
settle , transform
settle , specie
change , settle
it , time
act , it
change , strong
change , hurricane
climate , strong
hurricane , strong
fight , prove
fight , program
fight , number
city , fight
city , meet
city , prove
america , city
america , polluted
america , fight
change , economic
change , fight
change , city
climate , economic
climate , fight
economic , fight
inaction , meet
inaction , prove
inaction , story
inaction , scientist
inaction , program
inaction , number
inaction , it
expensive , fight
expensive , meet
expensive , prove
expensive , movement
expensive , story
expensive , scientist
expensive , program
expensive , number
expensive , it
expensive , global
global , movement
divest , fight
divest , meet
divest , prove
divest , fuel
divest , story
divest , scientist
divest , program
divest , number
divest , it
divest , fossil
divest , food
change , come
change , food
change , deal
climate , come
come , food
come , deal
come , fight
come , meet
come , prove
come , favorite
come , paris
come , fuel
favorite , food
deal , fuel
beginning , fuel
beginning , change
beginning , conflict
beginning , climate
beginning , instability
fuel , instability
fuel , world
change , conflict
change , instability
climate , conflict
conflict , instability
conflict , world
instability , world
story , win
untold , win
meet , scientist
meet , prove
meet , program
meet , number
movement , win
movement , paris
america , movement
america , environmental
america , win
america , deal
environmental , movement
environmental , win
dedicate , life
dedicate , fight
program , prove
job , program
number , prove
help , prove
help , hit
help , number
help , it
help , warming
help , site
help , inaction
help , meet
help , way
help , native
help , sacred
diet , help
diet , prove
diet , fight
diet , erase
diet , hit
fight , warming
fight , hit
fight , global
fight , hard
fight , site
crisis , erase
crisis , site
crisis , prove
crisis , hit
crisis , native
crisis , sacred
climate , erase
climate , site
erase , site
erase , prove
erase , hit
erase , native
erase , sacred
erase , number
erase , it
erase , hard
erase , finally
erase , risk
erase , seriously
native , site
native , sacred
native , risk
native , seriously
american , site
american , sacred
american , bank
american , finally
american , risk
american , seriously
sacred , site
sacred , seriously
bank , investor
bank , finally
bank , risk
bank , seriously
bank , climate
investor , risk
investor , seriously
finally , risk
finally , seriously
risk , seriously
climate , risk
climate , seriously
hit , prove
hit , number
hit , it
change , hit
change , prove
climate , hit
americans , hard
americans , prove
americans , way
americans , come
americans , number
americans , it
americans , surprising
americans , far
americans , u.s
poor , prove
poor , way
hard , prove
hard , way
hard , number
hard , it
hard , surprising
hard , u.s
hard , inaction
hard , meet
surprising , way
action , growth
action , hand
action , economic
climate , growth
climate , hand
growth , hand
economic , growth
far , u.s
far , prove
come , number
come , it
explain , hit
explain , farmer
explain , paris
english , mean
english , explain
english , threaten
threaten , water
change , mean
change , supply
change , explain
change , water
climate , supply
america , supply
america , water
america , mean
america , case
case , mean
case , deal
case , green
green , new
action , hit
action , lift
action , explain
action , farmer
action , boat
action , mean
action , denial
action , hard
climate , lift
climate , farmer
hit , mean
boat , hit
boat , denial
boat , hard
denial , hard
denial , gop
climate , hard
climate , gop
hard , win
defend , win
defend , energy
defend , renewable
renewable , win
energy , win
battle , change
battle , climate
farmer , mean
case , demand
case , justice
case , climate
moral , wildfire
moral , sink
action , demand
act , demand
act , justice
act , case
act , change
act , moral
act , wildfire
act , way
change , demand
change , way
change , justice
change , moral
climate , demand
climate , way
island , sink
battle , hold
battle , threaten
battle , destroy
battle , company
hold , oil
damage , hold
tax , tool
tax , threaten
tax , wonder
carbon , tax
carbon , stay
carbon , tool
carbon , threaten
carbon , destroy
stay , tool
stay , threaten
stay , technology
stay , we
stay , wonder
tool , we
tool , wonder
effective , tool
effective , report
effective , stay
effective , threaten
effective , we
climate , tool
climate , report
climate , destroy
change , report
change , ignore
report , threaten
congress , ignore
congress , learn
ignore , learn
ignore , kid
kid , learn
american , kid
american , learn
activist , change
activist , climate
activist , threaten
activist , future
change , future
change , destroy
change , science
threaten , wonder
future , skiing
future , science
change , hope
attribution , change
agreement , hope
agreement , nation
climate , hope
hope , nation
nation , stand
nation , politician
nation , way
nation , they
politician , stand
politician , way
politician , they
stand , way
stand , they
fund , they
destroy , wonder
destroy , natural
destroy , grow
destroy , we
natural , wonder
natural , we
city , grow
lead , we
lead , wonder
fight , grow
include , justice
include , wonder
include , upend
include , tax
include , stay
include , tool
include , threaten
include , natural
include , warming
action , include
action , destroy
action , justice
action , wonder
action , upend
action , crisis
climate , include
climate , justice
justice , wonder
justice , upend
justice , work
economic , justice
economic , family
economic , hidden
crisis , heartland
crisis , destroy
climate , heartland
america , heartland
warming , wonder
global , upend
upend , wonder
life , medical
alaska , change
alaska , community
alaska , climate
alaska , native
declare , race
declare , tax
declare , stay
declare , tool
declare , threaten
declare , destroy
declare , develop
declare , irreversible
declare , fuel
declare , save
declare , effective
declare , report
declare , future
declare , wonder
declare , promise
declare , energy
declare , unaffordable
physician , race
physician , tax
physician , stay
physician , tool
physician , threaten
lead , physician
lead , race
race , tax
race , stay
race , tool
race , threaten
develop , energy
change , irreversible
change , unaffordable
climate , irreversible
irreversible , unaffordable
change , insurance
change , day
climate , unaffordable
insurance , unaffordable
insurance , million
flood , insurance
flood , unaffordable
promise , warming
promise , solar
promise , stay
promise , tool
promise , threaten
promise , right
promise , rooftop
peril , warming
peril , problem
peril , solar
global , problem
future , problem
happen , right
happen , solar
it , right
rooftop , solar
empower , fight
empower , math
community , fight
fight , math
change , math
climate , math
clear , stay
clear , tool
clear , threaten
clear , destroy
fuel , stay
fuel , save
fuel , tool
fuel , threaten
fuel , ground
fuel , technology
fuel , we
fossil , stay
fossil , save
ground , save
accelerate , spread
accelerate , save
accelerate , tool
accelerate , threaten
accelerate , destroy
accelerate , technology
accelerate , we
accelerate , disease
change , save
climate , spread
save , we
save , threaten
technology , we
cautiously , optimistic
transform , warn
agreement , transform
agreement , economy
paris , transform
change , transform
change , global
change , declare
declare , warn
declare , transform
declare , movement
declare , realize
declare , it
declare , scientist
declare , strain
declare , grassroots
declare , push
declare , you
crisis , transform
crisis , declare
crisis , warn
right , transform
human , right
report , transform
report , strain
movement , push
movement , realize
movement , you
movement , warn
movement , renewable
grassroots , movement
grassroots , push
grassroots , realize
grassroots , it
push , renewable
push , realize
america , renewable
affect , realize
affect , it
realize , warn
it , protect
action , we
action , come
action , climate
powerful , we
scientist , strain
day , strain
change , strain
change , fema
change , reduce
climate , strain
capacity , investor
capacity , reduce
capacity , street
fema , response
fema , investor
america , response
america , disaster
america , capacity
disaster , response
bet , big
big , climate
food , waste
food , reduce
dent , reduce
dent , strain
dent , warn
dent , scientist
dent , link
dent , drive
massive , reduce
massive , strain
alarmed , learn
alarmed , reduce
alarmed , strain
alarmed , we
alarmed , rewrite
learn , rewrite
learn , they
learn , rule
rewrite , rule
change , rewrite
change , rule
climate , rewrite
climate , rule
american , estate
american , real
link , matter
link , pollution
link , reduce
link , strain
link , summer
link , standard
link , state
link , mosque
link , movement
air , pollution
air , change
air , climate
matter , stop
it , join
adapt , fight
adapt , change
adapt , stop
adapt , join
adapt , climate
adapt , it
farmer , fight
farmer , stop
fight , stop
join , movement
church , join
church , mosque
church , temple
church , movement
church , climate
mosque , temple
dangerous , elderly
dangerous , drive
dangerous , reduce
dangerous , strain
dangerous , opportunity
dangerous , standard
dangerous , state
child , elderly
opportunity , standard
opportunity , state
dollar , opportunity
dollar , drive
dollar , standard
dollar , state
dollar , fight
drive , state
drive , emission
drive , fight
drive , reduce
drive , strain
drive , pattern
drive , student
fight , security
fight , national
fight , way
change , security
affect , security
affect , national
affect , way
change , national
climate , security
security , way
way , we
denier , progress
block , progress
block , climate
america , progress
climate , progress
clean , standard
clean , drive
clean , state
standard , state
energy , standard
energy , state
emission , state
carbon , emission
carbon , state
fight , pattern
fight , student
fight , migration
fight , force
disrupt , pattern
disrupt , student
disrupt , migration
disrupt , force
disrupt , university
disrupt , divest
disrupt , warming
disrupt , map
disrupt , flooding
pattern , student
migration , pattern
migration , student
bird , fish
bird , mammal
fish , mammal
student , university
college , student
college , force
college , university
college , divest
force , university
force , fuel
change , map
change , need
change , trigger
change , flooding
change , civilization
change , plan
global , map
map , need
map , trigger
map , plan
map , wan
civilization , need
civilization , trigger
need , plan
need , trigger
city , need
city , plan
city , trigger
city , community
major , need
major , plan
american , need
american , plan
plan , trigger
action , community
community , lead
color , lead
color , movement
color , justice
lead , movement
justice , movement
environmental , justice
trigger , wan
change , financial
change , wan
climate , trigger
crisis , wan
crisis , influence
crisis , industry
crisis , political
global , wan
global , influence
financial , wan
financial , influence
industry , influence
industry , political
industry , wan
fuel , influence
fuel , political
fuel , wan
fossil , influence
influence , wan
political , wan
agreement , world
agreement , path
paris , world
not-save , trillion
not-save , threaten
not-save , world
not-save , worsen
not-save , paris
not-save , path
not-save , poverty
not-save , prove
not-save , odd
not-save , voter
not-save , we
future , path
clean , future
clean , path
energy , future
energy , path
report , world
report , trillion
new , not-save
new , world
economy , report
economy , not-save
economy , world
act , not-save
act , trillion
act , later
act , threaten
act , agreement
act , world
act , worsen
act , country
act , decide
act , infrastructure
act , need
trillion , world
trillion , worsen
later , threaten
later , world
later , worsen
later , need
threaten , world
threaten , worsen
change , infrastructure
change , we
climate , infrastructure
climate , need
infrastructure , need
infrastructure , we
america , infrastructure
america , need
need , pledge
need , scientist
need , not-climate
need , predict
action , pledge
action , not-climate
action , predict
action , ago
climate , not-climate
climate , predict
pledge , scientist
not-climate , pledge
not-climate , scientist
scientist , today
predict , today
crisis , decade
change , worsen
change , poverty
change , country
change , decide
climate , worsen
climate , poverty
poverty , south
american , south
country , prove
country , decide
country , odd
country , voter
country , election
country , growth
decide , election
decide , help
climate , voter
climate , decide
climate , election
election , help
election , technology
election , fight
capture , help
capture , technology
capture , fight
carbon , technology
erode , not-save
erode , worsen
erode , trillion
erode , later
erode , threaten
erode , poverty
erode , prove
erode , odd
erode , voter
coastline , not-save
coastline , worsen
coastline , country
coastline , decide
americans , lose
americans , home
require , role
progress , require
progress , role
change , require
drive , grocery
drive , lead
change , grocery
bill , lead
bill , state
bill , change
bill , revolution
bill , climate
grocery , lead
grocery , state
lead , revolution
america , revolution
america , energy
agreement , good
good , hope
warming , worse
warming , worsen
global , mean
global , worse
mean , worsen
mean , worse
mean , way
crisis , worse
america , crisis
america , worse
allergy , crisis
allergy , worse
afford , not-wait
afford , long
afford , day
afford , warming
afford , mean
afford , worse
afford , landmark
action , long
day , history
signing , worsen
signing , worse
paris , signing
paris , worsen
change , leave
change , inequality
change , worker
change , protection
change , energy
climate , leave
way , worsen
way , worker
plan , worsen
plan , protection
america , plan
america , future
protection , spend
environmental , protection
environmental , prosperity
economic , prosperity
activist , spend
activist , day
activist , court
activist , earth
activist , street
climate , spend
spend , street
day , street
leave , worker
leave , worsen
leave , warming
future , leave
future , worker
future , worsen
america , leave
america , clean
america , worker
energy , leave
energy , worker
clean , leave
worker , worsen
lift , rise
drive , energy
learn , work
clear , realize
break , die
hand , hit
bankrupt , founder
matter , supply
miserable , poor
report , study
study , teach
learn , study
battle , conflict
matter , number
demand , require
bankrupt , die
billion , million
event , matter
big , great
break , point
lead , wind
join , link
event , number
case , issue
home , national
binding , hold
country , nation
blue , miserable
reach , strain
evidence , prove
history , level
great , hard
point , story
energy , fight
learn , teach
government , politics
develop , grow
fight , hold
protection , security
case , event
country , state
number , work
reduce , shrink
report , work
chance , find
declare , hold
job , problem
line , strain
big , worse
find , opportunity
drive , power
drive , movement
lift , wind
demand , need
lift , prove
event , supply
conflict , fight
act , influence
die , founder
battle , fight
alarm , alarmed
break , stay
develop , rise
job , line
earth , global
defend , fight
drive , push
peril , threaten
event , face
green , park
develop , prove
happen , opportunity
earth , world
develop , founder
chance , opportunity
stay , stop
bad , big
hand , strain
alarm , alarming
earth , ground
doctor , physician
find , risk
effective , good
develop , die
break , rise
chance , peril
declare , defend
public , world
leave , wind
act , come
line , problem
model , pattern
hand , reach
history , story
find , happen
break , grow
line , reach
peril , risk
answer , response
energy , push
chance , risk
grow , prove
report , story
develop , stop
accounting , report
come , issue
event , issue
hit , reach
evidence , rise
pattern , regulation
bankrupt , break
rise , wind
study , work
chance , happen
bad , worse
model , rule
big , hard
drive , force
act , issue
ocean , sea
break , stop
action , sue
break , founder
effective , right
happen , risk
blue , low
agreement , leader
deal , leader
chance , leader
climate , leader
leader , world
sign , world
agreement , sign
accelerate , sign
day , sign
agreement , paris
day , paris
day , earth
leader , obama
agreement , obama
obama , point
point , turning
obama , turning
chance , deal
agreement , deal
accelerate , deal
deal , paris
chance , paris
chance , climate
accelerate , chance
agreement , chance
chance , good
accelerate , good
fast , good
number , we
number , save
record , save
agreement , save
planet , save
nation , save
climate , save
agreement , number
nation , number
climate , number
day , number
number , record
agreement , record
nation , record
number , planet
agreement , planet
accelerate , million
march , million
fast , million
demand , million
accelerate , march
demand , march
fast , march
accelerate , worldwide
demand , worldwide
fast , worldwide
warn , worldwide
accelerate , demand
climate , urgent
action , urgent
scientist , urgent
global , scientist
warming , warn
accelerate , warn
explain , fast
case , fast
agreement , fast
explain , predict
agreement , predict
find , predict
paris , predict
mean , predict
explain , model
agreement , model
find , model
find , paris
cost , explain
find , mean
cost , mean
economy , mean
american , mean
find , it
cost , it
economy , it
bernie , find
billion , cost
economy , u.s
find , report
find , new
hillary , sander
find , pledge
fight , pledge
bernie , pledge
mean , pledge
explain , pledge
crisis , pledge
hillary , pledge
it , pledge
cost , pledge
new , pledge
agreement , pledge
data , pledge
break , pledge
day , pledge
bernie , clinton
crisis , fight
day , fight
bernie , fight
explain , fight
confirm , fight
earth , fight
confirm , data
data , nasa
confirm , nasa
find , nasa
agreement , confirm
break , confirm
find , year
record , year
create , it
crisis , it
deal , it
create , deal
create , paris
million , paris
denial , million
job , million
denial , job
climate , job
energy , green
denial , green
climate , green
denial , energy
climate , energy
climate , republican
denial , republican
crisis , health
find , health
health , public
crisis , public
confirm , doctor
deal , doctor
chance , doctor
bad , doctor
die , doctor
bad , event
confirm , event
bleaching , coral
bad , coral
bad , bleaching
history , record
change , confirm
chance , confirm
climate , confirm
allergy , confirm
message , scientist
change , scientist
long , scientist
allergy , change
long , season
miserable , season
level , season
displace , season
level , long
displace , long
displace , level
americans , level
level , rise
displace , rise
level , sea
displace , sea
displace , threaten
americans , threaten
million , threaten
francis , threaten
action , threaten
imperative , threaten
day , threaten
americans , displace
action , displace
day , displace
climate , displace
americans , million
action , americans
action , francis
day , francis
climate , francis
earth , francis
francis , pope
action , pope
imperative , pope
day , pope
day , imperative
earth , imperative
imperative , moral
day , moral
die , message
deal , message
chance , message
great , message
barrier , message
die , reef
barrier , great
die , great
it , kill
activist , generation
agreement , generation
climate , generation
generation , new
government , new
activist , new
government , sue
scientist , sue
sue , warn
agreement , warn
government , warn
sign , warn
paris , warn
kerry , warn
granddaughter , warn
lap , warn
power , warn
cheap , warn
mean , warn
sue , win
generation , win
warn , win
government , win
day , win
new , win
report , win
threaten , win
agreement , win
earth , win
decade , important
change , reshape
america , reshape
climate , reshape
national , reshape
reshape , warming
change , warming
threat , warming
america , warming
climate , warming
government , report
paris , report
agreement , pentagon
climate , pentagon
teach , threaten
employ , threaten
sue , threaten
agreement , threaten
school , threaten
science , threaten
decade , threaten
it , threaten
fast , threaten
generation , threaten
government , threaten
pentagon , threaten
sign , threaten
paris , threaten
document , threaten
plan , threaten
movement , threaten
know , threaten
agreement , kerry
climate , kerry
agreement , john
granddaughter , sign
lap , sign
power , sign
cheap , sign
mean , sign
granddaughter , paris
lap , paris
cheap , paris
mean , paris
cheap , climate
cheap , power
mean , power
it , power
power , solar
cheap , solar
mean , solar
country , mean
change , vulnerable
fight , vulnerable
climate , vulnerable
paris , scientist
vital , woman
step , woman
community , woman
scientist , woman
warn , woman
agreement , woman
bear , woman
spread , woman
color , woman
step , vital
color , community
agreement , bear
agreement , burden
april , burden
burden , heavy
extent , heavy
arctic , change
extent , reach
april , extent
extent , record
low , record
april , record
extent , low
april , low
fuel , researcher
change , researcher
agreement , researcher
america , researcher
democrats , researcher
plan , researcher
cost , researcher
climate , researcher
scientist , spread
agreement , spread
america , spread
democrats , spread
plan , spread
cost , spread
report , spread
paris , spread
action , spread
ahead , spread
hide , spread
spread , virus
virus , zika
plan , unveil
cost , unveil
sweeping , unveil
action , unveil
ahead , unveil
hide , unveil
scientist , unveil
agreement , unveil
climate , unveil
change , unveil
cost , democrats
action , democrats
ahead , democrats
ahead , plan
cost , plan
hide , plan
day , plan
plan , sweeping
action , sweeping
