trump , win
case , deserve
case , exit
case , not-account
case , take away
case , debate
case , honesty
exit , paris
ideologue , not-account
ideologue , take away
ideologue , policy
ideologue , regulation
ideologue , job
ideologue , warming
ideologue , roll
not-account , take away
not-account , regulation
global , not-account
policy , take away
cost , family
cost , day
cost , push
american , family
alarmist , day
alarmist , push
alarmist , earth
alarmist , takeover
climate , push
day , push
day , takeover
earth , push
push , takeover
government , takeover
regulation , take away
roll , take away
climate , take away
belt , earth
deserve , honesty
deserve , hysteria
debate , deserve
debate , honesty
debate , hysteria
change , debate
change , deserve
change , honesty
climate , debate
honesty , hysteria
repeal , reverse
cover , deal
scheme , strategy
need , want
gain , win
exit , leave
exit , forget
exit , left
family , household
billion , million
regulation , rule
industry , manufacture
dissent , protest
crusade , energy
movement , push
question , questioning
decline , refuse
crusade , push
change , transfer
narrative , story
set , trump
right , trump
not-receive , trump
bureaucrat , trump
policy , trump
question , trump
pull , trump
million , trump
policy , set
america , set
agreement , set
it , set
paris , set
environment , set
power , set
commitment , set
question , right
deal , right
bureaucrat , right
policy , right
climate , right
deal , question
climate , question
paris , question
climate , paris
deal , paris
change , march
agenda , march
agenda , change
change , climate
agenda , climate
agenda , political
not-receive , pull
march , pull
agreement , pull
agreement , paris
agreement , climate
march , win
scientist , win
today , win
set , win
not-receive , win
american , win
march , worker
march , scientist
million , not-receive
lobby , not-receive
bureaucrat , not-receive
grant , not-receive
change , not-receive
earth , not-receive
day , not-receive
grant , million
lobby , million
government , million
earth , lobby
day , lobby
hijack , lobby
day , earth
earth , hijack
day , hijack
pruitt , rally
pruitt , scott
america , bureaucrat
agreement , bureaucrat
bureaucrat , unelected
set , unelected
policy , unelected
agreement , policy
it , policy
commitment , it
business , worker
unfair , worker
business , u.s
alarmism , warming
infect , warming
school , warming
concern , warming
alarmism , global
concern , infect
commitment , infect
hear , infect
america , infect
climate , infect
disagree , infect
concern , school
commitment , school
hear , school
concern , parent
hear , parent
climate , concern
commitment , concern
disagree , scientist
hear , scientist
consensus , scientist
consensus , disagree
hear , you
they , you
renaissance , unleash
march , unleash
set , unleash
follow , unleash
protest , unleash
roll , unleash
create , unleash
american , unleash
energy , unleash
bureaucrat , unleash
policy , unleash
money , unleash
beat , unleash
deserve , unleash
partisan , unleash
emergency , unleash
job , unleash
manufacture , unleash
science , unleash
march , renaissance
follow , renaissance
protest , renaissance
create , renaissance
create , march
beat , follow
deserve , follow
deal , follow
bureaucrat , follow
dominance , follow
change , follow
cover , follow
bureaucracy , follow
case , follow
follow , protest
create , protest
coat , protest
bureaucrat , protest
policy , protest
money , protest
beat , protest
deserve , protest
emergency , protest
job , protest
manufacture , protest
lab , protest
climate , partisan
follow , partisan
create , partisan
coat , partisan
coat , lab
follow , roll
create , roll
regulation , roll
good , roll
bureaucrat , roll
policy , roll
money , roll
beat , roll
deserve , roll
emergency , roll
job , roll
manufacture , roll
obama , roll
good , regulation
climate , obama
good , obama
economy , good
american , good
create , emergency
consensus , emergency
china , emergency
agreement , emergency
consensus , create
bureaucrat , create
beat , create
action , create
change , create
create , look
china , look
agreement , look
gain , look
job , look
india , look
change , look
advantage , look
prediction , year
use , year
fail , year
agreement , use
gain , use
change , use
advantage , use
create , use
economic , use
plan , use
agreement , china
change , china
advantage , china
agreement , india
gain , india
agreement , change
advantage , agreement
advantage , gain
economic , gain
energy , gain
advantage , economic
plan , trump
energy , trump
trump , u.s
plan , u.s
energy , u.s
action , job
follow , job
consensus , job
manufacture , scheme
action , climate
evidence , manufacture
follow , manufacture
crusade , manufacture
crusade , evidence
epa , evidence
change , evidence
billion , evidence
americans , evidence
climate , evidence
alarmism , evidence
crusade , need
change , need
billion , need
americans , need
crusade , epa
crusade , reform
billion , change
alarmism , change
billion , climate
billion , crusade
alarmism , crusade
americans , crusade
alarmism , billion
agreement , withdraw
paris , withdraw
climate , withdraw
alarmism , climate
earth , religion
day , religion
environmentalism , religion
farmer , religion
dissent , religion
earth , tolerate
day , tolerate
environmentalism , tolerate
dissent , tolerate
hysteria , tolerate
day , dissent
crisis , environmentalism
hysteria , left
crisis , left
climate , left
cost , marcher
raise , want
cost , want
energy , want
cost , raise
energy , raise
cost , energy
agenda , skeptical
change , skeptical
americans , save
rural , save
real , save
dollar , save
march , save
americans , plan
plan , power
americans , repeal
real , repeal
americans , rural
story , thousand
dollar , thousand
march , story
march , real
science , today
beat , money
deserve , money
deal , money
hearing , money
model , money
congress , money
policy , warming
congress , policy
agenda , congress
climate , congress
action , congress
agenda , epa
climate , epa
action , epa
eliminate , epa
job , million
manufacture , million
beat , strategy
deal , strategy
regulation , strategy
deserve , strategy
paris , strategy
climate , strategy
change , strategy
strangle , strategy
science , strategy
strategy , trump
dominance , trump
beat , trump
deal , trump
regulation , trump
beat , dominance
deal , dominance
dominance , energy
beat , energy
change , deal
american , deal
quietly , regulation
business , regulation
deserve , regulation
business , change
business , strangle
small , strangle
business , quietly
business , small
change , science
climate , science
tell , uncertain
media , uncertain
organize , uncertain
march , uncertain
organize , tell
march , tell
activist , tell
march , media
organize , you
march , you
activist , organize
climate , organize
organize , science
activist , climate
agreement , researcher
paris , researcher
agreement , neutral
taxpayer , transfer
american , transfer
taxpayer , wealth
production , restore
american , restore
energy , restore
deserve , restore
real , restore
climate , restore
cover , restore
cover , story
deserve , story
justify , story
climate , real
cover , real
justify , narrative
economy , justify
democrats , justify
change , justify
democrats , kill
change , kill
democrats , regulation
excuse , regulation
change , democrats
climate , democrats
question , scientist
model , scientist
model , question
global , question
model , warming
coverage , deserve
deserve , they
hearing , they
overreach , they
climate , they
regulatory , they
leave , they
march , they
tax , they
gas , hearing
climate , hearing
cost , hearing
climate , gas
cost , gas
gas , natural
refuse , solution
cost , solution
reverse , solution
environmentalist , solution
accept , solution
agenda , solution
policy , solution
household , solution
cost , real
environmentalist , real
accept , real
agenda , real
accept , climate
accept , refuse
cost , refuse
agenda , refuse
accept , environmentalist
cost , environmentalist
agenda , policy
cost , policy
american , cost
reverse , thousand
reverse , trump
leave , overreach
coverage , overreach
march , overreach
medium , overreach
change , overreach
overreach , regulatory
leave , regulatory
coverage , regulatory
coverage , medium
change , medium
leave , medium
climate , medium
coverage , mainstream
change , mainstream
leave , mainstream
tax , today
reset , tax
americans , tax
miner , tax
tax , tomorrow
climate , tomorrow
americans , work
miner , work
coal , work
view , work
different , miner
emergency , view
climate , view
advocacy , marcher
change , marcher
advocacy , change
advocacy , climate
agenda , rational
global , rational
americans , rational
agenda , global
agenda , warming
war , warming
americans , war
affordable , war
income , war
americans , income
income , low
americans , low
epa , pruitt
federalism , victory
bureaucracy , federalism
climate , federalism
bureaucracy , climate
catastrophe , model
ago , model
bureaucracy , model
case , model
ideologue , model
catastrophe , climate
ago , climate
catastrophe , predict
ago , predict
ago , catastrophe
ago , year
protect , wrong
protect , withdraw
sovereignty , withdraw
bureaucracy , withdraw
case , withdraw
ideologue , withdraw
deserve , withdraw
deal , withdraw
american , withdraw
action , withdraw
regulate , withdraw
abundance , withdraw
answer , withdraw
not-account , withdraw
take away , withdraw
debate , withdraw
honesty , withdraw
bureaucracy , protect
case , protect
ideologue , protect
american , protect
action , protect
abundance , protect
answer , protect
not-account , protect
debate , protect
honesty , protect
industry , protect
energy , protect
activist , protect
exit , protect
policy , protect
job , protect
day , protect
change , protect
hysteria , protect
bureaucracy , sovereignty
case , sovereignty
ideologue , sovereignty
deserve , sovereignty
action , sovereignty
regulate , sovereignty
abundance , sovereignty
answer , sovereignty
not-account , sovereignty
debate , sovereignty
honesty , sovereignty
abundance , bureaucracy
answer , bureaucracy
industry , regulate
american , regulate
decline , regulate
case , regulate
ideologue , regulate
deserve , regulate
decline , industry
change , decline
americans , science
forget , science
destroy , science
community , science
revive , science
americans , forget
destroy , forget
community , forget
community , destroy
appalachian , destroy
agenda , destroy
deregulation , destroy
destroy , regulation
community , regulation
appalachian , regulation
agenda , regulation
agenda , community
kill , revive
organizer , revive
industry , revive
march , revive
agenda , trump
deregulation , trump
revive , trump
kill , trump
agenda , deregulation
kill , rule
organizer , rule
march , rule
climate , industry
oil , organizer
shut , want
oil , want
american , want
gas , want
oil , shut
american , shut
gas , shut
gas , oil
abundance , american
abundance , energy
answer , energy
activist , answer
agreement , answer
activist , emergency
jet , private
change , questioning
climate , questioning
crime , questioning
american , crime
crime , thought
agreement , case
agreement , exit
climate , exit
deserve , ideologue
day , ideologue
debate , ideologue
honesty , ideologue
cost , ideologue
climate , ideologue
cost , not-account
deserve , not-account
job , not-account
day , not-account
alarmist , not-account
not-account , warming
not-account , policy
alarmist , cost
alarmist , family
alarmist , climate
government , push
energy , push
energy , takeover
energy , government
job , regulation
day , regulation
day , roll
job , take away
day , take away
deserve , take away
earth , take away
day , job
belt , rust
earth , rust
business , concern
hear , hearing
answer , solution
low , small
forget , leave
evidence , tell
excuse , justify
good , right
thought , view
question , skeptical
disagree , dissent
forget , left
business , job
disagree , protest
leave , left
parent , raise
crusade , movement
questioning , skeptical
concern , job
