agreement , deal
bill , freedom
bill , rural
bill , natural
bill , turbine
bill , senate
bill , drive
bill , real
bill , deal
bill , horse
bill , raise
bill , push
bill , overreach
bill , burden
high , job
high , reject
high , solution
high , rural
energy , job
energy , gas
energy , solution
energy , freedom
energy , rural
job , reject
job , solution
job , rural
americans , bear
americans , burden
americans , gas
americans , reject
americans , solution
bear , burden
bear , regulation
burden , regulation
burden , change
gas , turbine
gas , reject
gas , solution
gas , wind
gas , senate
gas , real
gas , horse
gas , raise
gas , job
gas , push
gas , overreach
natural , turbine
natural , reject
natural , solution
natural , wind
real , solution
real , reject
america , future
america , energy
energy , future
deal , horse
deal , raise
deal , trojan
deal , mandate
deal , orthodoxy
paris , raise
climate , horse
climate , raise
horse , raise
horse , reject
horse , mandate
horse , orthodoxy
global , governance
economic , governance
mandate , raise
mandate , orthodoxy
energy , mandate
energy , raise
energy , orthodoxy
green , mandate
green , raise
raise , reject
change , orthodoxy
bill , change
bill , climate
bill , orthodoxy
electric , orthodoxy
climate , orthodoxy
silence , worth
scientist , silence
scientist , send
dissent , scientist
dissent , silence
dissent , send
deal , plan
deal , job
deal , overreach
deal , state
deal , debate
deal , far
america , send
america , overseas
america , deal
america , independence
america , worth
america , profit
billion , send
billion , overseas
send , worth
overseas , worth
overseas , profit
independence , worth
independence , profit
american , independence
american , worth
american , profit
energy , independence
energy , worth
energy , profit
climate , symbolism
climate , industry
change , industry
profit , regulation
profit , warming
profit , wag
agenda , force
force , manufacturer
force , job
force , movement
force , wag
force , rule
force , war
regulation , wag
climate , force
climate , manufacturer
manufacturer , movement
manufacturer , wag
job , rule
day , root
day , radical
earth , root
earth , radical
radical , root
environmentalism , movement
environmentalism , wag
environmentalism , war
movement , wag
movement , worried
movement , war
movement , rancher
anti , movement
anti , capitalist
anti , wag
anti , farmer
anti , worried
capitalist , movement
capitalist , wag
capitalist , farmer
capitalist , worried
farmer , rancher
farmer , worried
rancher , worried
agenda , czar
agenda , climate
agenda , tell
agenda , americans
agenda , live
change , czar
change , climate
change , tell
climate , czar
czar , tell
czar , live
czar , ignore
climate , tell
climate , live
americans , live
americans , ignore
live , science
ignore , science
wag , war
change , movement
change , wag
change , war
climate , movement
climate , wag
war , warming
manufacture , warming
american , manufacture
american , grant
american , warming
global , grant
billion , deal
billion , renegotiate
billion , cost
billion , plan
billion , president
billion , withdraw
billion , job
billion , push
billion , overreach
billion , funding
billion , climate
advocacy , deal
advocacy , renegotiate
renegotiate , withdraw
president , renegotiate
president , withdraw
cost , push
cost , overreach
cost , reject
cost , state
cost , debate
cost , far
cost , senate
cost , drive
plan , push
action , plan
action , cost
action , cancellation
climate , plan
gas , heat
gas , pipeline
gas , keystone
heat , pipeline
keystone , pipeline
job , push
job , overreach
job , state
american , job
american , push
american , overreach
push , reject
overreach , reject
debate , far
change , debate
change , far
climate , debate
emergency , exaggeration
climate , emergency
climate , exaggeration
datum , tell
datum , story
story , unelected
complex , story
bureaucrat , unelected
bureaucrat , change
bureaucrat , shape
bureaucrat , story
bureaucrat , fad
bureaucrat , policy
bureaucrat , complex
bureaucrat , tell
bureaucrat , political
bureaucrat , climate
bureaucrat , door
change , story
change , fad
change , unelected
change , complex
change , political
change , datum
shape , unelected
shape , story
policy , unelected
america , policy
climate , policy
door , outlast
door , energy
close , door
close , outlast
close , energy
abundant , energy
abundant , american
abundant , outlast
abundant , climate
energy , outlast
american , outlast
american , climate
fad , story
fad , unelected
fad , tell
political , story
power , push
regulation , rule
state , tell
class , year
family , year
business , job
radical , settle
energy , force
bad , big
energy , push
governance , government
force , push
root , settle
class , family
country , tell
industry , manufacture
root , solution
country , state
history , story
cost , price
agreement , paris
climate , paris
deal , paris
agreement , climate
bad , cost
american , cost
million , worker
deal , worker
earth , worker
fearmongere , worker
job , worker
deal , million
earth , million
fearmongere , million
job , million
bad , million
day , million
bad , earth
day , earth
deal , fearmongere
bad , fearmongere
alarmist , climate
agenda , prediction
change , prediction
agenda , change
overseas , redistribute
american , redistribute
overseas , wealth
china , deal
china , paris
china , climate
agreement , china
agreement , pass
agreement , strangle
sign , strangle
approval , strangle
industry , u.s
obama , u.s
sign , u.s
climate , obama
agreement , obama
climate , sign
agreement , sign
approval , senate
class , cost
community , cost
cost , real
kill , real
action , real
cost , pay
kill , pay
pause , pay
class , pay
community , pay
action , pay
middle , pay
climate , pay
consensus , pay
global , pay
country , pay
action , climate
class , middle
community , kill
consensus , kill
class , kill
change , kill
claim , kill
cost , pause
kill , pause
class , pause
community , pause
pause , price
global , price
kill , price
pause , warming
cost , warming
kill , warming
revise , warming
cost , revise
kill , revise
country , revise
class , revise
regulation , revise
community , revise
model , revise
coal , revise
revise , scientist
quietly , scientist
cost , scientist
kill , scientist
country , scientist
cost , quietly
kill , quietly
country , quietly
country , model
coal , model
model , temperature
country , temperature
coal , temperature
speak , temperature
cost , speak
kill , speak
kill , regulation
community , regulation
consensus , regulation
action , admit
claim , consensus
claim , settle
left , settle
agreement , settle
drive , settle
agreement , claim
american , claim
celebrate , claim
claim , left
agreement , left
drive , left
drive , paris
drive , sovereignty
regulation , sovereignty
cost , sovereignty
day , sovereignty
celebrate , sovereignty
day , drive
celebrate , drive
drive , regulation
day , regulation
celebrate , regulation
energy , regulation
environment , regulation
drive , obama
cost , obama
day , obama
celebrate , obama
celebrate , cost
cost , energy
day , energy
celebrate , energy
earth , energy
earth , family
celebrate , day
agenda , celebrate
agenda , environment
agenda , radical
climate , radical
devastation , radical
devastation , economic
devastation , hurt
agenda , hurt
credibility , hurt
economic , hurt
hide , hurt
climate , hurt
celebrate , hurt
change , hide
change , paris
change , deal
agenda , credibility
climate , credibility
credibility , science
devastation , science
agenda , science
admit , researcher
kill , researcher
pay , researcher
regulation , researcher
community , researcher
plan , researcher
overreach , researcher
destroy , researcher
overreach , plan
destroy , plan
kill , plan
plan , power
overreach , power
destroy , power
destroy , overreach
energy , overreach
country , overreach
build , overreach
hysteria , overreach
justify , overreach
kill , overreach
action , overreach
laugh , overreach
change , overreach
miners , overreach
overreach , unconstitutional
destroy , unconstitutional
energy , unconstitutional
country , unconstitutional
build , unconstitutional
hysteria , unconstitutional
justify , unconstitutional
build , country
change , country
build , laugh
hysteria , laugh
justify , laugh
america , laugh
climate , laugh
hysteria , plant
justify , plant
big , justify
government , justify
miners , virginia
virginia , west
miners , west
model , way
life , way
warming , way
global , life
model , warming
trust , wrong
kill , wrong
we , wrong
they , wrong
they , trust
kill , trust
trust , we
they , we
accord , paris
kill , paris
accord , climate
bureaucrat , win
accord , loss
kill , loss
climate , loss
bureaucrat , loss
american , loss
win , worker
accord , kill
business , kill
bureaucrat , kill
dollar , kill
accord , regulation
business , regulation
business , small
change , small
dollar , spending
accord , spending
dollar , taxpayer
agenda , epa
climate , epa
agreement , reject
drive , reject
agenda , reject
paris , reject
attack , reject
company , reject
big , reject
regulatory , reject
power , reject
america , reject
economy , reject
alarmist , reject
big , grab
agenda , grab
epa , grab
climate , grab
agreement , grab
drive , grab
american , grab
power , regulatory
big , history
agreement , energy
deal , energy
american , cheap
deal , important
climate , important
agreement , important
drive , important
activist , important
day , important
activist , deal
agenda , deal
activist , climate
agenda , day
agenda , push
economic , push
agenda , socialist
economic , socialist
reject , senate
agreement , senate
drive , senate
agenda , senate
paris , senate
climate , senate
attack , senate
company , senate
sacrifice , senate
agenda , agreement
regulation , u.s
sovereignty , u.s
change , u.s
climate , u.s
change , sovereignty
climate , sovereignty
company , drive
america , drive
alarmist , drive
america , company
alarmist , company
company , energy
economy , sacrifice
alarmist , sacrifice
promise , sacrifice
predict , sacrifice
disaster , sacrifice
alarmist , america
alarmist , economy
climate , economy
alarmist , promise
promise , unverifiable
climate , unverifiable
disaster , predict
corrupt , predict
corrupt , wrong
lobby , wrong
science , wrong
warming , wrong
climate , wrong
climate , corrupt
corrupt , lobby
climate , lobby
lobby , warming
corrupt , warming
science , warming
corrupt , global
legacy , obama
corrupt , legacy
americans , bill
bear , bill
agreement , bill
bill , high
energy , high
americans , high
gas , high
cost , high
freedom , high
bear , high
bill , energy
americans , energy
bear , energy
freedom , job
americans , job
bear , job
americans , freedom
americans , rural
bear , rural
burden , rural
cost , gas
agreement , gas
drive , gas
deal , gas
gas , natural
cost , natural
reject , turbine
solution , turbine
cost , turbine
turbine , wind
reject , solution
cost , solution
future , solution
senate , solution
agreement , solution
drive , solution
deal , solution
horse , solution
raise , solution
push , solution
overreach , solution
america , solution
future , real
horse , paris
governance , horse
cost , horse
global , horse
economic , horse
horse , trojan
raise , trojan
governance , trojan
economic , global
change , mandate
energy , green
orthodoxy , raise
change , raise
cost , raise
bill , electric
change , electric
climate , electric
deal , silence
send , silence
billion , silence
cost , silence
plan , silence
america , silence
overseas , silence
renegotiate , silence
job , silence
push , silence
overreach , silence
action , silence
agreement , silence
independence , silence
profit , silence
deal , scientist
billion , scientist
plan , scientist
america , scientist
overseas , scientist
deal , dissent
action , deal
american , deal
cancellation , deal
agreement , america
america , billion
overseas , send
deal , send
agreement , send
independence , send
profit , send
cost , send
plan , send
paris , send
climate , send
american , send
energy , send
force , send
deal , overseas
agreement , overseas
independence , overseas
force , independence
profit , worth
force , worth
symbolism , worth
industry , symbolism
change , symbolism
force , profit
agenda , profit
manufacturer , profit
global , profit
climate , profit
job , profit
environmentalism , profit
movement , profit
agenda , global
agenda , warming
environmentalism , force
country , force
anti , force
capitalist , force
force , regulation
manufacturer , regulation
job , regulation
environmentalism , regulation
movement , regulation
job , manufacturer
environmentalism , manufacturer
country , job
root , rule
day , rule
radical , rule
earth , rule
anti , environmentalism
capitalist , environmentalism
farmer , movement
agenda , worried
change , worried
czar , worried
americans , czar
americans , climate
americans , tell
live , tell
ignore , tell
science , tell
ignore , live
adaptation , ignore
adaptation , science
grant , wag
grant , war
manufacture , war
grant , manufacture
global , manufacture
grant , warming
advocacy , billion
action , billion
funding , money
advocacy , money
climate , money
money , taxpayer
funding , taxpayer
advocacy , taxpayer
advocacy , funding
climate , funding
advocacy , climate
deal , renegotiate
cost , renegotiate
plan , renegotiate
climate , renegotiate
deal , president
climate , withdraw
deal , withdraw
paris , withdraw
change , cost
cost , plan
cancellation , plan
job , plan
gas , plan
pipeline , plan
cancellation , gas
food , gas
expensive , gas
food , heat
cancellation , heat
expensive , heat
expensive , food
cancellation , food
cancellation , pipeline
cancellation , keystone
debate , job
far , job
push , state
overreach , state
climate , state
overreach , push
debate , push
far , push
obama , push
debate , overreach
far , overreach
emergency , left
climate , left
exaggeration , left
story , tell
complex , tell
complex , datum
america , bureaucrat
policy , shape
change , shape
america , shape
climate , shape
door , shape
fad , shape
close , shape
outlast , shape
change , policy
door , policy
climate , door
abundant , door
american , door
climate , close
climate , energy
climate , outlast
complex , fad
fad , political
build , shape
billion , million
radical , solution
accord , grant
drive , push
drive , movement
movement , push
drive , force
settle , solution
predict , promise
agreement , grant
accord , agreement
bear , pay
drive , power
pass , spending
force , power
